emotion,user_id,true_dominant,predicted_dominant,product_id,product_name,category_en,fit,variant,backend,model,cache_hit,latency_seconds,ad_text
fear,u09,fear,fear,p10,EvGözcü,smart home device,adjacent,generic,groq,llama-3.3-70b-versatile,False,3.131,"EvGözcü ile evinizin güvenliğini her an kontrol edin. 1080p gece görüşü ve anlık hareket uyarısı ile huzur içinde uyuyun,easy kurulum sayesinde zorlanmayın. Şimdi 899 TL'ye sahip olun ve evinizin korumasını telefonunuzdan takip edin."
happy,u13,happy,happy,p03,MaceraBileti,adventure travel package,natural,full,groq,llama-3.3-70b-versatile,False,2.897,"Güzel bir hafta sonu kaçamağı hayal ediyorsun, ama nereye gideceğini bilemiyor musun? MaceraBileti ile sürpriz destinasyonlara, küçük gruplarla ve ulaşım+konaklama dahil olmak üzere unutulmaz bir expérience yaşayabilirsin!"
happy,u13,happy,happy,p03,MaceraBileti,adventure travel package,natural,random,groq,llama-3.3-70b-versatile,False,2.971,"Yeni sene, yeni maceraların zamanı! MaceraBileti ile sürpriz destinasyonlara, küçük gruplarla ve ulaşım+konaklama dahil paketlerle hafta sonu kaçamakları planla, güzel anılar biriktir ve Allah'ın verdiği güzellikleri keşfet."
happy,u13,happy,happy,p03,MaceraBileti,adventure travel package,natural,generic,groq,llama-3.3-70b-versatile,False,2.934,"MaceraBileti ile hafta sonunuzu şansa bırakın, sürpriz destinasyonumuza hazır olun. Ulaşım ve konaklama dahil, küçük gruplarla unutulmaz bir kaçamak yaşayın, sadece 2.500-4.000 TL'ye."
happy,u13,happy,happy,p08,Yansı,skincare line,adjacent,full,groq,llama-3.3-70b-versatile,False,3.211,"Güzel günlerin en güzel hediyesi, pırıl pırıl bir cilt! Yansı cilt bakım seti, hassas ciltler için özel olarak tasarlandı, doğal içerikler ve dermatolog onaylı formülüyle cildinizi yenileyin, 349 TL'ye sahip olun."
happy,u13,happy,happy,p08,Yansı,skincare line,adjacent,random,groq,llama-3.3-70b-versatile,False,2.908,"Yansı cilt bakım seti, hassas ciltler için özel olarak tasarlandı. Doğal içerikleri ve dermatolog onaylı formülüyle, cildinize güvenle bakabilirsiniz. Nemlendirici, temizleyici ve serumdan oluşan bu üçlü set, cildinizi besler ve korur. 349 TL'ye sahip olabilirsiniz."
happy,u13,happy,happy,p08,Yansı,skincare line,adjacent,generic,groq,llama-3.3-70b-versatile,False,2.933,"Yansı cilt bakım seti, hassas ciltlerinizi doğal içeriklerle korur ve nemlendirir. Dermatolog onaylı formülüyle güvenle kullanabilirsiniz. Bu üçlü set, nemlendirici, temizleyici ve serumdan oluşuyor ve size sağlıklı bir cilt sunuyor, yalnızca 349 TL'ye."
surprise,u17,surprise,surprise,p09,ÖğrenÇağı,online course platform,natural,full,groq,llama-3.3-70b-versatile,False,3.31,"Hayret ettiren bir gerçek var: artık her şeyin temposuna yetişmek zorunda değiliz. ÖğrenÇağı ile uzman eğitmenlerimizin liderliğindeki sertifikalı kurslara katılarak, kendi hızımızda öğrenme opportunity'sine sahip olabiliriz. 199-499 TL arasındaki kurs ücretleriyle, veri bilimi, tasarım ve dil gibi alanlarda kendimizi geliştirebilir, şaşırmaktan çıkıp öğrenmeye başlayabiliriz."
surprise,u17,surprise,surprise,p09,ÖğrenÇağı,online course platform,natural,random,groq,llama-3.3-70b-versatile,False,2.996,"Hayatın koşuşturması arasında yeni beceriler kazanmak ister misin? ÖğrenÇağı ile uzman eğitmenlerin liderliğinde veri bilimi, tasarım ve dil kurslarına katıl, kendi temponla öğren ve sertifikalı kurslarla kariyerine yön ver."
surprise,u17,surprise,surprise,p09,ÖğrenÇağı,online course platform,natural,generic,groq,llama-3.3-70b-versatile,False,3.053,"ÖğrenÇağı ile veri bilimi, tasarım ve dil gibi alanlarda uzman eğitmenlerden sertifikalı kurslar alın. Kendi temponuzda öğrenin, kariyerinizi ilerletin, 199-499 TL arasında değişen fiyatlarla erişilebilir bir eğitim deneyimi yaşayın."
surprise,u17,surprise,surprise,p02,Sakinlik+,mindfulness app,adjacent,full,groq,llama-3.3-70b-versatile,False,3.046,"Hayret dolu anlarınızın ardı arkası kesilmiyor gibi görünüyor, Sakinlik+ uygulaması ile 5 dakika gibi kısa bir sürede meditasyon yaparakDaily hayretler içerisinde boğulmadan, duygularınızı takip altına alabilirsiniz."
surprise,u17,surprise,surprise,p02,Sakinlik+,mindfulness app,adjacent,random,groq,llama-3.3-70b-versatile,False,3.626,"Hayatın yoğunluğunda bazen durup nefes almak gerekiyor. Sakinlik+ mobil uygulaması ile 5 dakika meditasyonlar, uyku sesleri ve günlük duygu günlüğü sayesinde hayatınızı dengeleyin, ücretsiz veya 49 TL/aylık Premium üyelik ile sakin bir yaşam sürün."
surprise,u17,surprise,surprise,p02,Sakinlik+,mindfulness app,adjacent,generic,groq,llama-3.3-70b-versatile,True,2.961,"Sakinlik+ uygulamasıyla günlük hayatın stresini geride bırakın. 5 dakika süren meditasyonlar, uyku sesleri ve günlük duygu günlüğü ile ruhunuzu dinlendirebilir, daha dengeli bir yaşam sürdürebilirsiniz. Ücretsiz olarak indirip deneyimleyin veya premium sürüme geçerek daha fazla özellik keşfedin."
sad,u21,sad,sad,p01,LezzetKapım,comfort food delivery,natural,full,groq,llama-3.3-70b-versatile,False,3.504,"LezzetKapım'ın sıcak ve lezzetli ev yemekleri, günün stresini ve üzüntüyü unutturacak bir mola olabilir. 30 dakika içinde kapınıza gelen restoran kalitesindeki yemekler, her gün değişen menü seçenekleriyle keyfinizi artırır. Biraz rahatlamak ve kendinize iyi davranmak istiyorsanız, LezzetKapım'ın ev yapımı lezzetlerini deneyin."
sad,u21,sad,sad,p01,LezzetKapım,comfort food delivery,natural,random,groq,llama-3.3-70b-versatile,False,3.301,"Bugün güzel bir günün ardından evde harika bir yemek yemek istiyorum, LezzetKapım sayesinde 30 dakika içinde restoran kalitesinde ev yemekleri kapıma geliyor, her gün değişen menü seçenekleriyle daima yeni tatlar keşfediyorum."
sad,u21,sad,sad,p01,LezzetKapım,comfort food delivery,natural,generic,groq,llama-3.3-70b-versatile,False,3.2,"LezzetKapım ile ev yemeklerinin tadını 30 dakika içinde kapınızda deneyimleyin. Her gün değişen menülerimizle, restoran kalitesindeki ev yemeklerini öğün başı sadece 120-180 TL'ye teslim ediyoruz."
sad,u21,sad,sad,p07,DiziKulesi,streaming service,adjacent,full,groq,llama-3.3-70b-versatile,False,3.143,"Hayatın sometimes zor gelebilir, ama DiziKulesi'nde her şey kontrolde. Reklamsız, keyifle Türkçe dizileri izleyerek hayata yeniden bağlanabilir, haftalık yeni bölümlerle heyecan dolu anlar yaşayabilirsin. Aylık sadece 79 TL'ye DiziKulesi'ne geç, hayatın daha güzel yanlarına odaklan."
sad,u21,sad,sad,p07,DiziKulesi,streaming service,adjacent,random,groq,llama-3.3-70b-versatile,False,3.046,"Mutlu anlarınızı daha da güzelleştirecek bir keşif yapın, DiziKulesi'nde Türkçe yapımları reklamsız izleyin, haftalık yeni bölümlerle heyecan hiç bitmesin, yalnızca 79 TL'ye aylık abonelikle keyifli bir dünya seni bekliyor."
sad,u21,sad,sad,p07,DiziKulesi,streaming service,adjacent,generic,groq,llama-3.3-70b-versatile,False,2.9,"DiziKulesi'nde reklamsız keyif, her hafta yeni bölümlerle güncellenen geniş Türkçe dizi arşivi seni bekliyor, yalnızca 79 TL'ye aylık abonelikle dizi tutkunu ol!"
